Neighborhood,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Gr_Liv_Area,Total_Bsmt_SF,Garage_Cars,Full_Bath,Bedroom_AbvGr,Fireplaces,Lot_Area,House_Age,Years_Since_Remod,Bldg_Type,Sale_Type,Sale_Price
Crawfor,1920,1950,8,2,678,211,2,3,3,1,8776,90,60,1Fam,WD,240747
StoneBr,1963,1969,10,5,894,249,2,3,4,0,23583,47,41,Duplex,WD,462438
CollgCr,1989,1996,7,7,1668,1018,2,1,5,1,18430,21,14,1Fam,WD,337679
CollgCr,1935,1967,10,8,1375,1042,1,1,3,1,16086,75,43,1Fam,WD,338718
NridgHt,2005,2009,6,3,1461,676,2,3,3,0,22845,5,1,1Fam,WD,463761
Somerst,2000,2001,1,1,697,389,2,2,3,0,20441,10,9,1Fam,WD,204656
NoRidge,1985,2002,9,7,1468,619,2,1,4,1,3071,25,8,1Fam,WD,480203
NridgHt,1961,2007,3,5,4408,3604,2,2,2,0,8084,49,3,1Fam,New,726832
IDOTRR,1941,1973,5,5,3655,1782,1,1,3,2,20575,69,37,1Fam,WD,288306
Somerst,1975,2008,7,7,1168,509,2,2,3,0,24844,35,2,1Fam,WD,345883
Mitchel,1941,1975,7,1,3656,1731,1,2,3,0,11449,69,35,1Fam,WD,352490
Timber,1960,2010,3,8,3004,1685,4,2,4,2,6274,50,0,1Fam,Oth,474659
Gilbert,1912,1929,4,5,4047,1192,1,2,3,2,14061,98,81,1Fam,WD,373210
NWAmes,1910,1997,10,8,1776,442,2,2,3,0,1559,100,13,1Fam,ConLD,264893
Crawfor,1953,1960,7,5,2410,1214,3,2,3,1,15602,57,50,1Fam,WD,363140
CollgCr,1915,1944,8,7,571,302,2,2,3,0,24095,95,66,1Fam,WD,265035
ClearCr,1907,1950,2,3,722,431,1,1,3,1,19222,103,60,1Fam,WD,148160
Somerst,2003,2007,9,2,2823,1862,2,2,3,1,8501,7,3,1Fam,WD,486918
BrkSide,1958,1967,7,6,4366,3356,1,2,3,0,9448,52,43,1Fam,WD,361356
NAmes,1956,1978,8,5,4347,2221,2,2,3,0,20355,54,32,Twnhs,New,463480
IDOTRR,1939,1990,6,9,1769,1114,1,2,2,0,17126,71,20,1Fam,WD,208846
NoRidge,2008,2008,6,4,1864,1512,2,2,3,0,10254,2,2,1Fam,WD,503095
NWAmes,1958,1968,9,3,3120,2268,3,1,4,0,10674,52,42,1Fam,WD,395385
BrkSide,1901,1966,4,9,1423,822,2,2,4,1,22404,109,44,Duplex,New,186373
StoneBr,1993,1996,5,8,970,694,2,2,3,0,14546,17,14,TwnhsE,WD,386772
NridgHt,1993,1993,9,6,3001,1108,2,2,3,1,9601,17,17,1Fam,WD,647133
NWAmes,1975,1987,1,1,4342,2587,2,2,4,1,19614,35,23,Duplex,WD,411665
Crawfor,1909,1948,4,1,3516,1529,3,1,3,1,22223,101,62,1Fam,ConLD,355640
NAmes,1943,2010,7,6,2554,919,1,2,4,0,9379,67,0,1Fam,WD,320037
NoRidge,1910,1951,9,3,687,574,3,3,4,0,9300,100,59,1Fam,WD,384629
Mitchel,1978,1996,10,3,2551,1033,2,3,2,1,20931,32,14,1Fam,WD,358528
Timber,1979,1996,6,6,4314,3076,3,2,3,0,11049,31,14,1Fam,WD,612175
StoneBr,1980,1984,8,3,2168,1378,2,2,2,1,23109,30,26,1Fam,WD,533290
StoneBr,1989,2007,9,6,3454,2124,2,2,2,0,19669,21,3,1Fam,WD,678061
Mitchel,1901,1958,10,5,1648,766,3,3,4,1,15698,109,52,1Fam,WD,301472
Gilbert,1949,1971,4,4,3586,1114,3,2,4,1,3462,61,39,1Fam,WD,386559
CollgCr,1911,1964,1,8,1459,936,2,2,2,1,16636,99,46,1Fam,WD,224667
Somerst,1989,2004,8,2,3072,2558,4,2,3,0,8746,21,6,1Fam,WD,514316
NAmes,1922,1986,2,7,1129,650,1,1,3,0,10880,88,24,1Fam,WD,161579
Somerst,1917,1928,1,4,3811,1881,1,2,3,1,7465,93,82,1Fam,WD,406779
Mitchel,1961,1984,7,2,1274,896,2,2,3,0,4178,49,26,1Fam,WD,225434
ClearCr,1995,1996,10,7,859,347,2,2,5,0,23989,15,14,1Fam,WD,387343
Somerst,1961,1968,9,1,1017,820,4,3,2,1,14868,49,42,1Fam,WD,348095
CollgCr,1937,1954,9,4,1843,1152,2,1,2,1,12699,73,56,TwnhsE,WD,329834
Veenker,2010,2010,3,9,3802,1841,0,2,2,0,6807,0,0,1Fam,WD,484268
NWAmes,1966,1970,6,4,2469,1215,2,1,3,1,21007,44,40,1Fam,WD,332776
CollgCr,1937,1962,7,3,3601,1634,2,1,3,1,4643,73,48,1Fam,WD,415522
Timber,1966,1995,10,2,4105,1964,2,3,3,0,4300,44,15,Twnhs,New,679051
NAmes,1993,2005,9,3,1420,1008,2,2,3,1,18207,17,5,1Fam,WD,283014
Somerst,1960,1978,2,1,3727,2514,1,2,4,1,20086,50,32,1Fam,WD,436022
CollgCr,1900,1928,8,8,4201,2983,2,1,3,2,24086,110,82,1Fam,New,529013
BrkSide,1993,1995,7,1,3399,2355,2,2,3,0,3294,17,15,1Fam,WD,336008
Crawfor,1944,2001,4,3,1434,486,2,2,4,1,11940,66,9,1Fam,WD,268693
NoRidge,1995,2004,2,3,2486,1583,2,1,4,0,3842,15,6,1Fam,WD,443353
BrkSide,1927,2002,8,2,1400,658,1,2,3,0,13092,83,8,1Fam,WD,206624
Crawfor,1920,1921,5,5,2228,1494,2,1,3,1,11667,90,89,1Fam,ConLD,291310
Somerst,2009,2009,6,3,2946,1400,2,2,4,0,20929,1,1,1Fam,COD,497869
NoRidge,1912,1939,7,3,1869,996,1,3,2,0,2807,98,71,2fmCon,WD,412493
Mitchel,1926,2007,10,8,1718,1197,2,2,3,0,17035,84,3,1Fam,New,318659
Crawfor,1999,2003,1,4,2715,1723,4,3,3,0,16445,11,7,Duplex,WD,345001
CollgCr,1906,1991,8,4,876,363,2,2,2,1,16184,104,19,1Fam,WD,252256
NAmes,1921,1996,4,3,4060,2258,2,2,2,0,2955,89,14,1Fam,WD,337438
Mitchel,1973,1974,9,1,2274,1177,2,2,3,1,12121,37,36,1Fam,WD,308110
StoneBr,2002,2006,1,8,3933,2719,2,2,4,0,6891,8,4,1Fam,WD,589115
Veenker,1952,1958,2,1,2005,1799,3,2,4,1,4039,58,52,1Fam,WD,332540
Timber,1978,2003,6,7,1767,982,4,2,5,1,5118,32,7,Duplex,WD,428911
NWAmes,1978,2003,10,5,4152,2456,2,1,2,0,3878,32,7,1Fam,WD,463123
NridgHt,1903,1990,1,4,3154,1775,2,1,3,1,20089,107,20,2fmCon,WD,477419
Crawfor,1995,2006,4,4,1510,380,3,3,4,1,14219,15,4,1Fam,New,303395
NWAmes,1922,1937,8,8,3136,1402,1,0,3,1,2639,88,73,1Fam,WD,354578
NAmes,1969,1991,10,6,1694,1413,3,3,3,0,5091,41,19,TwnhsE,COD,286762
Somerst,1987,1994,5,1,4084,2593,3,2,2,1,22598,23,16,1Fam,WD,533145
Mitchel,1983,2010,9,8,3977,1261,1,2,3,0,6214,27,0,1Fam,New,501393
NoRidge,2000,2008,6,2,4145,1616,4,2,3,0,12365,10,2,1Fam,WD,685184
NAmes,1983,1997,1,6,1730,1127,4,2,2,1,6167,27,13,1Fam,New,237896
NoRidge,1975,1987,6,9,1677,1361,3,1,5,0,9957,35,23,Duplex,WD,482438
Somerst,1932,1936,6,1,4357,3456,2,2,2,1,17257,78,74,1Fam,WD,527765
Mitchel,1927,2001,6,6,2595,1045,2,2,5,1,9793,83,9,1Fam,WD,316177
StoneBr,1907,1980,8,8,2172,1605,2,1,4,1,16832,103,30,TwnhsE,ConLD,512089
Timber,1900,1951,6,2,3572,2096,2,1,3,0,21857,110,59,Duplex,New,548174
NWAmes,1936,1976,5,5,4318,2945,2,1,4,2,3769,74,34,1Fam,WD,420229
NWAmes,1962,2007,2,6,2428,1426,2,1,3,1,20367,48,3,1Fam,WD,287602
Gilbert,1921,1970,4,5,4339,1750,2,1,3,0,19097,89,40,1Fam,WD,401930
Gilbert,1969,1983,10,3,3978,3352,1,2,3,0,22619,41,27,1Fam,Oth,497445
CollgCr,1920,1926,5,4,3678,1412,2,2,3,1,12684,90,84,1Fam,WD,400491
Timber,1995,2002,10,7,672,105,0,3,3,1,22313,15,8,1Fam,COD,365712
Somerst,1934,1961,4,4,3053,2457,2,1,3,1,11296,76,49,1Fam,WD,401132
StoneBr,1978,2009,2,9,3701,1946,2,2,3,1,17160,32,1,1Fam,ConLD,590982
BrkSide,1904,2002,7,2,2945,2366,1,2,3,0,16186,106,8,1Fam,WD,296346
Crawfor,1959,1973,10,5,793,602,4,3,3,0,7495,51,37,1Fam,WD,307050
ClearCr,1945,2009,10,8,1051,468,0,2,3,0,2069,65,1,1Fam,WD,322009
CollgCr,1949,1952,2,5,1970,1780,2,2,3,1,3045,61,58,1Fam,WD,282824
BrkSide,1947,1957,1,8,3397,1077,3,2,4,0,2408,63,53,1Fam,WD,259733
StoneBr,1905,1930,5,8,1539,1195,3,2,3,0,5962,105,80,1Fam,COD,384249
Crawfor,1988,1992,1,9,2162,973,0,1,4,0,5583,22,18,1Fam,WD,275695
CollgCr,1955,1977,1,6,1384,1539,3,2,3,1,4840,55,33,1Fam,WD,286724
Crawfor,2009,2009,1,4,1872,906,3,2,3,1,8447,1,1,1Fam,COD,326634
NridgHt,1958,1978,6,3,3551,2303,2,1,3,0,8539,52,32,1Fam,WD,615834
NAmes,2003,2010,9,5,1726,1223,2,2,1,2,8612,7,0,1Fam,New,330703
BrkSide,1928,1967,10,6,633,376,0,2,5,0,20309,82,43,1Fam,New,229385
Crawfor,1970,1982,1,3,1270,780,2,3,2,0,12910,40,28,1Fam,COD,234723
Gilbert,2003,2009,5,2,4097,3165,2,2,3,0,8655,7,1,Duplex,WD,479665
BrkSide,1976,1991,9,7,3055,2175,3,2,2,0,8170,34,19,2fmCon,WD,307004
NWAmes,2001,2004,9,5,1589,1116,2,2,2,0,19756,9,6,Twnhs,WD,330761
StoneBr,1917,1996,1,9,979,546,2,2,4,1,6409,93,14,1Fam,WD,281358
Crawfor,1901,1931,8,3,1362,410,1,2,3,1,9897,109,79,TwnhsE,WD,253257
Crawfor,1907,1959,1,8,958,335,1,2,4,1,17092,103,51,1Fam,New,188859
ClearCr,1974,1998,8,6,3913,1575,1,2,3,1,18699,36,12,1Fam,WD,508365
NWAmes,1996,2007,1,4,4278,1624,0,2,3,1,17949,14,3,1Fam,WD,387067
BrkSide,1953,1964,5,9,1125,795,2,3,3,0,13737,57,46,1Fam,WD,187150
BrkSide,1937,1945,8,5,658,256,3,2,3,1,3551,73,65,1Fam,WD,188209
ClearCr,1947,1958,6,6,2708,811,2,3,4,1,1502,63,52,1Fam,WD,390534
NoRidge,1926,1994,9,9,1777,598,2,1,3,2,15526,84,16,TwnhsE,WD,517588
IDOTRR,1919,1972,1,7,2507,2003,2,2,3,0,1824,91,38,1Fam,WD,201255
NAmes,1911,1964,9,5,2420,1347,2,2,5,0,7634,99,46,TwnhsE,WD,301498
NoRidge,1942,1969,1,2,1439,754,2,2,2,1,18488,68,41,1Fam,WD,323087
BrkSide,1960,1994,10,4,4098,3442,2,2,3,1,22775,50,16,1Fam,WD,408296
NAmes,1930,1998,10,2,2072,787,2,2,3,0,20466,80,12,1Fam,New,336701
CollgCr,1990,1991,3,3,2702,2276,1,3,2,1,4622,20,19,1Fam,New,405758
Crawfor,1995,2008,1,3,3033,2033,0,2,3,0,17329,15,2,1Fam,WD,340355
Somerst,1960,1993,3,4,931,441,2,2,1,2,20998,50,17,1Fam,WD,277900
NridgHt,1973,1985,2,6,1550,1156,3,1,4,0,12967,37,25,1Fam,COD,396450
Somerst,1966,2004,2,3,1503,778,2,1,3,0,1846,44,6,1Fam,WD,257801
Mitchel,2008,2009,9,1,3583,1687,3,3,4,0,14869,2,1,1Fam,WD,421784
NridgHt,1990,2002,8,1,2614,2173,2,2,3,0,13846,20,8,1Fam,WD,597152
Somerst,1934,1991,1,9,3089,956,2,2,3,0,15497,76,19,1Fam,WD,379534
Somerst,1994,2007,4,9,2643,1258,2,2,3,1,12250,16,3,1Fam,ConLD,402770
CollgCr,1914,1988,1,5,714,198,3,1,4,1,13081,96,22,1Fam,WD,176797
BrkSide,1915,1956,1,9,2741,990,2,2,2,0,4943,95,54,1Fam,WD,214298
Somerst,1912,1949,4,7,2170,988,2,2,3,1,20138,98,61,1Fam,WD,340424
Somerst,1934,2001,2,9,1813,1489,2,1,3,0,1522,76,9,1Fam,ConLD,299834
NWAmes,1974,2006,3,7,4115,1727,2,1,5,0,21700,36,4,1Fam,COD,403352
ClearCr,1958,1964,9,9,1384,646,3,2,5,0,11655,52,46,TwnhsE,WD,367974
Timber,1920,1975,2,2,2586,1749,2,2,3,0,14574,90,35,1Fam,New,390254
ClearCr,1953,1993,4,8,2387,1948,2,1,2,1,19591,57,17,1Fam,WD,368909
StoneBr,1974,1981,1,7,1438,1121,3,2,2,0,12774,36,29,1Fam,WD,356796
StoneBr,1929,1979,2,6,1438,1147,2,3,5,1,8215,81,31,1Fam,WD,365247
CollgCr,1947,1956,5,5,705,672,2,2,3,1,7553,63,54,1Fam,WD,246729
ClearCr,1934,1976,10,4,4470,3281,3,2,2,1,21699,76,34,Duplex,WD,588585
BrkSide,1985,2009,1,7,1441,1235,2,3,4,2,2014,25,1,Duplex,COD,209256
Somerst,1937,1951,7,3,4499,3010,2,1,2,2,24171,73,59,1Fam,WD,561484
Crawfor,1930,1967,4,8,1054,238,1,1,4,1,4539,80,43,1Fam,WD,218951
Gilbert,1977,1991,6,2,3031,1693,1,2,3,1,7361,33,19,1Fam,WD,386627
NridgHt,1923,1927,8,1,3908,2528,2,2,2,0,20740,87,83,TwnhsE,WD,646926
Gilbert,1948,1976,6,2,2019,983,2,2,3,1,20225,62,34,TwnhsE,WD,321009
StoneBr,1995,1997,2,9,1270,613,4,2,2,1,7836,15,13,1Fam,WD,378244
IDOTRR,1999,2004,1,5,748,501,4,2,3,2,4862,11,6,1Fam,WD,165829
StoneBr,1931,1981,8,8,1597,1084,3,0,3,0,4990,79,29,1Fam,WD,437761
ClearCr,1954,1963,8,3,872,471,2,3,1,0,20391,56,47,1Fam,WD,291797
NoRidge,1978,1989,9,7,2354,1720,4,1,5,0,6667,32,21,1Fam,WD,579391
IDOTRR,2006,2009,6,2,3426,2359,2,3,3,1,4678,4,1,1Fam,WD,302000
CollgCr,1957,1987,1,8,4379,3699,2,1,3,0,21208,53,23,1Fam,WD,456582
Crawfor,1998,1999,9,7,4357,3572,2,1,3,1,19428,12,11,1Fam,WD,556047
NridgHt,1902,1981,3,5,1334,1074,0,1,2,0,23735,108,29,1Fam,WD,323954
NWAmes,1979,1986,6,4,3418,2084,1,3,5,0,12921,31,24,1Fam,WD,377435
Timber,1968,2003,10,1,1201,602,3,0,3,0,7672,42,7,1Fam,COD,376075
NAmes,1984,2008,10,5,2685,1813,2,2,3,1,22517,26,2,1Fam,WD,367382
Timber,1909,1995,9,9,3495,2652,2,2,4,0,11441,101,15,TwnhsE,WD,589032
StoneBr,1982,1993,3,4,3004,2356,2,2,3,1,24170,28,17,1Fam,WD,554703
NridgHt,1924,1959,5,9,3361,2299,3,2,3,2,20149,86,51,1Fam,WD,635874
CollgCr,1967,2003,5,2,3370,1623,2,3,4,2,14380,43,7,1Fam,WD,429211
Crawfor,1960,1962,10,4,1441,871,2,3,4,1,10404,50,48,1Fam,WD,388479
NridgHt,1928,1936,7,9,4414,2059,1,2,3,1,9758,82,74,1Fam,WD,707566
Mitchel,1918,1978,4,4,2991,651,2,2,3,0,24171,92,32,1Fam,WD,270858
ClearCr,1942,1994,4,5,2900,1240,4,3,4,2,6760,68,16,TwnhsE,WD,411461
CollgCr,1965,1982,7,8,1495,563,2,3,3,0,15157,45,28,1Fam,WD,340968
ClearCr,1973,2007,9,1,1293,759,2,2,4,1,5691,37,3,TwnhsE,WD,328491
ClearCr,1960,1993,4,1,2958,1375,2,2,5,0,12881,50,17,1Fam,WD,387496
CollgCr,1942,1945,4,9,1177,462,3,2,3,0,17556,68,65,1Fam,New,290657
StoneBr,1924,1964,6,9,2313,2318,2,2,2,0,22783,86,46,1Fam,WD,503194
StoneBr,1919,1963,6,4,2061,962,2,1,3,1,2967,91,47,1Fam,New,494781
NAmes,1947,1996,7,2,952,225,2,1,3,1,22736,63,14,Twnhs,WD,209321
BrkSide,1982,1996,1,9,2966,1221,0,2,3,1,7601,28,14,Duplex,WD,235288
Somerst,1986,1995,3,4,2997,1287,3,2,5,0,9047,24,15,1Fam,WD,406787
Veenker,1923,2002,9,6,3542,1206,3,1,3,1,4260,87,8,1Fam,WD,505045
Gilbert,1910,1985,6,1,4156,1315,3,2,3,0,7921,100,25,1Fam,WD,404874
ClearCr,2009,2010,6,9,1638,1131,3,2,3,0,14148,1,0,1Fam,WD,371758
NridgHt,1997,2001,5,5,550,15,3,3,3,1,2893,13,9,1Fam,WD,354530
StoneBr,1954,1987,3,3,1892,1037,2,2,3,2,5193,56,23,1Fam,WD,400396
NWAmes,1927,1927,5,4,4485,3739,3,2,2,0,13999,83,83,1Fam,WD,408281
Gilbert,1968,2006,1,1,4254,2354,2,3,3,1,23262,42,4,1Fam,WD,419077
NridgHt,1962,1993,3,9,4351,3592,1,2,4,1,19583,48,17,1Fam,WD,725880
Timber,1958,1983,4,8,2038,1300,2,2,3,1,19004,52,27,2fmCon,WD,395022
Timber,1904,1920,5,4,709,624,4,3,3,0,6829,106,90,1Fam,WD,273397
Gilbert,1950,1997,10,2,1387,1170,2,2,2,0,19455,60,13,1Fam,WD,325013
NridgHt,1920,2010,9,9,3545,1272,3,2,4,0,14565,90,0,1Fam,WD,712656
NoRidge,1911,1998,4,4,2426,982,1,2,5,0,17471,99,12,1Fam,Oth,454194
Mitchel,1949,1983,3,9,3540,2198,2,1,3,0,15856,61,27,1Fam,WD,335254
StoneBr,1903,1948,10,3,4473,2656,2,2,4,2,18612,107,62,TwnhsE,WD,748295
Gilbert,1941,1982,1,7,1349,840,1,3,3,0,13196,69,28,1Fam,COD,248547
Timber,1983,2004,10,7,4384,3469,1,2,3,2,18499,27,6,1Fam,WD,696835
NoRidge,1937,1975,6,4,4466,1831,1,3,4,0,1870,73,35,1Fam,WD,655279
Timber,1924,1972,7,2,2377,1553,3,3,2,2,8267,86,38,1Fam,ConLD,456517
NWAmes,1913,1974,10,9,1126,551,1,1,3,1,23222,97,36,1Fam,New,288077
NAmes,1974,1996,8,4,3226,2876,2,2,3,0,22826,36,14,1Fam,WD,356596
NAmes,1931,1952,1,8,1958,1540,0,2,3,1,10639,79,58,1Fam,WD,208891
Somerst,1910,1913,4,2,3324,2832,2,2,3,0,19003,100,97,TwnhsE,WD,407691
Gilbert,1960,2008,5,8,1750,607,2,1,1,0,11147,50,2,1Fam,New,312824
Timber,1917,1975,2,5,1162,998,2,3,3,0,24215,93,35,1Fam,New,329751
Veenker,1926,1998,1,7,767,657,2,2,3,0,24903,84,12,1Fam,New,255598
NAmes,1954,1957,8,7,2663,1219,2,2,3,1,3922,56,53,1Fam,WD,321933
NridgHt,1953,1959,6,9,2123,1858,2,2,2,1,9090,57,51,1Fam,WD,517528
NoRidge,1981,2003,5,3,2353,756,3,1,4,0,14955,29,7,2fmCon,WD,484348
Timber,1986,1987,9,4,1253,962,1,2,3,2,15841,24,23,1Fam,WD,401539
NridgHt,1974,1997,2,4,3931,1616,2,3,5,2,11032,36,13,1Fam,WD,644596
StoneBr,1920,1950,10,5,1852,1164,2,3,4,0,15041,90,60,1Fam,WD,531249
Crawfor,1943,1982,8,6,2368,1007,1,2,3,0,16981,67,28,TwnhsE,WD,375105
ClearCr,1904,1951,10,3,1563,504,2,2,1,0,11210,106,59,TwnhsE,New,366629
NAmes,1986,2004,9,4,681,179,2,2,3,1,7325,24,6,1Fam,WD,223235
Mitchel,1940,1982,1,3,2013,1348,2,2,3,0,8260,70,28,1Fam,COD,257467
Somerst,1958,1991,7,2,3780,1933,2,1,1,0,11651,52,19,Duplex,WD,490993
Timber,1988,2010,8,9,1402,935,4,2,2,1,10402,22,0,1Fam,COD,445536
Somerst,2004,2004,3,1,3844,1211,3,2,3,1,22454,6,6,1Fam,WD,472517
Crawfor,1953,1978,4,2,1642,267,3,0,4,0,2073,57,32,1Fam,WD,259700
Timber,1973,1988,3,8,3953,1346,2,1,4,1,18391,37,22,1Fam,WD,516093
Crawfor,1921,1977,7,7,3493,1750,2,1,2,1,24619,89,33,1Fam,COD,414232
ClearCr,1982,1996,9,1,4107,2973,2,2,3,0,3722,28,14,1Fam,WD,537607
CollgCr,1964,1976,3,5,2805,2301,1,2,2,1,19178,46,34,1Fam,WD,370171
ClearCr,1963,1977,6,6,2006,742,2,2,3,0,2287,47,33,Duplex,ConLD,358721
Veenker,1970,1996,8,5,3056,1791,2,2,4,1,6167,40,14,1Fam,WD,487046
BrkSide,1903,1970,6,4,2639,1593,2,2,4,0,20117,107,40,TwnhsE,New,271658
NWAmes,1964,1979,2,1,2502,1103,3,1,3,0,12857,46,31,TwnhsE,WD,272665
StoneBr,1914,1977,7,7,1684,720,1,2,2,0,21534,96,33,1Fam,WD,410092
NAmes,2003,2008,2,9,648,393,2,3,3,0,14301,7,2,1Fam,WD,192393
CollgCr,1975,2004,2,6,2664,854,1,2,4,1,21133,35,6,1Fam,WD,333696
NAmes,1921,1956,2,3,3005,960,2,2,3,1,7571,89,54,TwnhsE,WD,254065
Mitchel,1985,1987,1,4,3112,1173,0,2,3,0,17848,25,23,1Fam,WD,286719
ClearCr,1946,1994,1,5,3361,2417,2,0,4,0,21920,64,16,1Fam,WD,371830
NridgHt,1980,1991,7,1,2592,957,2,2,4,1,3209,30,19,1Fam,WD,545671
Timber,1992,1995,5,5,2300,654,2,2,4,0,17761,18,15,1Fam,WD,416152
CollgCr,1945,1988,3,1,2521,1035,2,1,3,0,13667,65,22,1Fam,WD,320976
Gilbert,1913,1943,1,9,3321,1146,2,2,3,1,14082,97,67,1Fam,WD,313750
Timber,1949,2006,10,7,2342,810,2,3,3,1,17090,61,4,1Fam,ConLD,494893
NoRidge,1919,2005,6,3,2536,1586,2,1,4,1,23096,91,5,TwnhsE,WD,503753
NAmes,1949,2002,1,9,2781,1066,2,2,4,1,3010,61,8,1Fam,WD,262082
IDOTRR,1932,1984,9,2,1898,1359,3,2,4,0,23787,78,26,1Fam,WD,240287
CollgCr,1958,1977,2,7,2070,1136,2,2,2,1,13238,52,33,TwnhsE,WD,315770
StoneBr,1942,1964,1,9,2373,1498,2,2,4,0,15874,68,46,1Fam,WD,425060
Veenker,1978,2005,7,6,2472,1606,3,2,3,0,5006,32,5,1Fam,WD,475078
NridgHt,1911,1926,6,5,4486,1791,3,2,1,1,23962,99,84,1Fam,New,778406
BrkSide,1939,1975,6,7,2744,2132,4,1,2,1,24316,71,35,TwnhsE,WD,292286
NoRidge,1919,1939,5,6,2572,1329,2,2,3,0,5133,91,71,1Fam,WD,461143
Crawfor,1993,2007,4,5,2942,2440,2,2,3,0,19345,17,3,2fmCon,COD,396194
Veenker,1937,1953,4,2,1213,399,2,2,4,1,23798,73,57,1Fam,WD,273153
CollgCr,1902,1938,3,8,2308,2127,2,3,4,1,7852,108,72,1Fam,WD,349210
Gilbert,1927,2003,10,7,3607,2616,4,2,1,1,3671,83,7,TwnhsE,WD,471322
Mitchel,1955,1973,8,6,4045,3289,2,2,3,0,14762,55,37,1Fam,WD,424453
Timber,1989,2001,7,5,722,445,3,2,2,1,10094,21,9,1Fam,WD,334184
NridgHt,1993,2010,9,5,1363,874,2,1,3,1,9975,17,0,1Fam,WD,497642
NoRidge,1912,1989,1,9,4360,3324,2,2,3,1,24690,98,21,1Fam,WD,629834
BrkSide,1976,1995,7,1,1029,853,3,2,4,0,23999,34,15,1Fam,WD,237426
NAmes,1965,1983,10,9,1711,1287,3,3,3,0,9932,45,27,1Fam,ConLD,338006
Crawfor,1936,1979,4,6,1925,929,4,2,4,0,6156,74,31,1Fam,WD,279529
Crawfor,1948,1954,7,4,2804,2345,3,3,4,0,11887,62,56,1Fam,WD,428632
Gilbert,2001,2009,1,7,1153,681,2,2,3,0,10392,9,1,1Fam,WD,254483
StoneBr,1965,2008,5,9,1659,1131,2,1,3,1,4170,45,2,1Fam,WD,427314
BrkSide,1935,2002,3,5,2342,1053,3,1,3,0,5860,75,8,1Fam,WD,211082
ClearCr,1953,1986,5,5,3138,1645,2,1,2,1,4048,57,24,TwnhsE,ConLD,408768
Somerst,1925,1990,4,8,943,939,2,2,4,0,20210,85,20,1Fam,Oth,272770
CollgCr,1974,1978,2,7,2965,1059,2,1,4,1,20680,36,32,1Fam,WD,376356
NridgHt,1971,1980,4,8,3863,2299,2,2,3,1,8546,39,30,1Fam,WD,657061
StoneBr,2007,2010,3,2,1073,682,1,3,5,1,3706,3,0,1Fam,COD,349824
NWAmes,1939,1980,1,9,2676,857,2,2,2,0,6679,71,30,1Fam,WD,275352
NoRidge,1942,1982,10,3,1510,565,1,2,4,1,17176,68,28,1Fam,WD,474968
Crawfor,1921,1997,8,6,840,404,2,1,3,1,19494,89,13,1Fam,WD,249265
Timber,1919,1987,5,6,3357,1725,3,2,4,2,18348,91,23,1Fam,WD,494991
Somerst,1907,1916,4,2,1780,1338,2,2,3,1,22207,103,94,1Fam,COD,294331
Veenker,1928,1937,10,7,3539,3008,3,3,4,1,6975,82,73,1Fam,WD,583543
Somerst,1939,1998,5,9,4295,1612,2,1,2,0,11181,71,12,1Fam,New,539933
NWAmes,1989,2007,4,1,4137,1389,4,2,3,1,8465,21,3,Twnhs,WD,427406
Veenker,1929,1949,3,8,4258,2219,2,2,2,2,2298,81,61,Twnhs,COD,487619
Crawfor,1980,1987,5,2,599,641,0,2,4,1,20684,30,23,1Fam,WD,215876
CollgCr,1983,1983,4,1,2586,1226,3,2,3,1,21124,27,27,2fmCon,WD,355332
Gilbert,1954,1981,1,8,4497,1488,3,1,3,1,4855,56,29,1Fam,WD,396040
BrkSide,1915,1992,3,2,2810,1790,2,2,4,0,21813,95,18,1Fam,WD,237785
NWAmes,1945,1974,10,6,649,447,4,2,4,1,14049,65,36,1Fam,WD,285743
Timber,1961,1981,10,6,2156,1318,2,2,2,1,2359,49,29,1Fam,WD,479728
NridgHt,2006,2006,8,5,3237,1624,4,2,4,1,15834,4,4,1Fam,WD,701257
Timber,1906,1914,7,8,3360,3009,2,1,2,1,15818,104,96,1Fam,WD,519392
Crawfor,1979,1995,2,3,1853,1330,2,2,4,1,9188,31,15,TwnhsE,WD,300059
NridgHt,1944,2001,1,4,1643,874,2,3,4,1,11837,66,9,2fmCon,WD,377405
CollgCr,1958,1988,3,7,2107,1171,2,2,1,0,12523,52,22,TwnhsE,WD,292632
Crawfor,2010,2010,5,7,2766,2044,2,2,3,1,14370,0,0,TwnhsE,WD,408170
Somerst,1955,2006,10,8,3453,2518,2,2,3,2,6522,55,4,Duplex,WD,567367
Mitchel,1947,2007,1,2,4481,3546,0,1,3,1,9084,63,3,1Fam,WD,372000
NoRidge,1926,1965,3,2,2337,1265,2,0,4,2,7902,84,45,1Fam,WD,398829
NridgHt,1952,1989,3,4,3694,2658,2,2,3,1,16352,58,21,1Fam,WD,629938
NWAmes,1986,1996,5,9,743,261,3,2,4,1,15774,24,14,1Fam,WD,249186
CollgCr,1987,2005,3,9,3433,1380,2,2,3,0,19658,23,5,1Fam,WD,401808
Gilbert,1972,2007,9,4,1086,1045,3,2,5,0,21249,38,3,Duplex,WD,330919
ClearCr,1934,1983,1,9,3065,1435,4,3,4,1,17470,76,27,Twnhs,WD,374485
